Unnamed: 0,ID,Case Number,Date,place,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2806423,9059050,HW203823,03/23/2013 12:00:00 PM,049XX W IOWA ST,0560,ASSAULT,SIMPLE,APARTMENT,False,True,1531,15.0,37.0,25.0,08A,1143326.0,1905529.0,2013,02/04/2016 06:33:39 AM,41.896809574,-87.749036365,"(41.896809574, -87.749036365)"
3144573,9619184,HX269129,05/20/2014 01:20:00 PM,037XX W CHICAGO AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,1112,11.0,27.0,23.0,18,1151155.0,1905078.0,2014,02/04/2016 06:33:39 AM,41.895422074,-87.720293303,"(41.895422074, -87.720293303)"
4074059,10456800,HZ196310,03/22/2016 03:00:00 AM,030XX S HARDING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1031,10.0,22.0,30.0,08B,1150528.0,1884008.0,2016,04/04/2016 03:50:36 PM,41.837615815,-87.72314619,"(41.837615815, -87.72314619)"
3165998,9655356,HX305935,06/16/2014 12:00:00 PM,017XX S ASHLAND AVE,0810,THEFT,OVER $500,HOSPITAL BUILDING/GROUNDS,False,False,1233,12.0,25.0,31.0,06,1165996.0,1891704.0,2014,02/04/2016 06:33:39 AM,41.858418813,-87.666167731,"(41.858418813, -87.666167731)"
881478,9994930,HY185576,03/15/2015 08:20:00 AM,017XX N LARRABEE ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1813,18.0,43.0,7.0,06,1172005.0,1911858.0,2015,08/17/2015 03:03:40 PM,41.913592431,-87.643516325,"(41.913592431, -87.643516325)"
2665208,8829820,HV493937,09/27/2012 10:30:00 AM,030XX N NATCHEZ AVE,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,2511,25.0,36.0,19.0,08A,1132555.0,1919460.0,2012,02/04/2016 06:33:39 AM,41.935232446,-87.788272005,"(41.935232446, -87.788272005)"
2911828,9224849,HW355175,07/09/2013 04:10:00 PM,030XX W GEORGE ST,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,False,False,1411,14.0,35.0,21.0,06,1155639.0,1919126.0,2013,02/04/2016 06:33:39 AM,41.933881857,-87.703445645,"(41.933881857, -87.703445645)"
6174368,10733569,HZ492690,10/22/2016 08:49:00 PM,001XX N STATE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,False,False,111,1.0,42.0,32.0,11,1176352.0,1900927.0,2016,10/31/2016 03:47:31 PM,41.883500187,-87.627876698,"(41.883500187, -87.627876698)"
6179019,10742284,HZ502321,10/03/2016 06:00:00 AM,066XX W BELDEN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CHA APARTMENT,False,False,2512,25.0,36.0,18.0,14,,,2016,11/05/2016 03:47:16 PM,,,
6172329,10725467,HZ484177,10/21/2016 08:00:00 PM,076XX S INGLESIDE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,624,6.0,8.0,69.0,14,1183887.0,1854495.0,2016,10/28/2016 03:46:52 PM,41.755914218,-87.601659909,"(41.755914218, -87.601659909)"
3505193,10321041,HY510498,11/21/2015 05:00:00 PM,039XX W 84TH PL,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,834,8.0,18.0,70.0,26,1151563.0,1848244.0,2015,11/28/2015 03:52:39 PM,41.739453721,-87.720284038,"(41.739453721, -87.720284038)"
3449811,10225350,HY412477,09/05/2015 10:30:00 PM,052XX W ROSCOE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,True,True,1634,16.0,38.0,15.0,14,1140823.0,1922103.0,2015,09/17/2015 11:37:18 AM,41.942336833,-87.757821082,"(41.942336833, -87.757821082)"
3231142,9762988,HX413041,09/02/2014 12:30:00 PM,002XX W MONROE ST,0820,THEFT,$500 AND UNDER,RESTAURANT,False,False,122,1.0,2.0,32.0,06,1174585.0,1899875.0,2014,02/04/2016 06:33:39 AM,41.880653112,-87.634396649,"(41.880653112, -87.634396649)"
2451903,8492666,HV169338,02/19/2012 02:00:00 PM,083XX S KINGSTON AVE,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,APARTMENT,False,False,423,4.0,7.0,46.0,26,1194621.0,1850172.0,2012,02/04/2016 06:33:39 AM,41.743794318,-87.562464878,"(41.743794318, -87.562464878)"
3064539,9476963,HX130356,01/28/2014 07:00:00 AM,020XX W WASHINGTON BLVD,0810,THEFT,OVER $500,STREET,False,False,1223,12.0,2.0,28.0,06,1162894.0,1900688.0,2014,02/04/2016 06:33:39 AM,41.883137298,-87.677302008,"(41.883137298, -87.677302008)"
3190842,9696481,HX346957,07/16/2014 04:21:00 AM,045XX W NORTH AVE,1330,CRIMINAL TRESPASS,TO LAND,OTHER,True,False,2533,25.0,37.0,23.0,26,1145524.0,1910238.0,2014,02/04/2016 06:33:39 AM,41.909690217,-87.740843921,"(41.909690217, -87.740843921)"
2708886,8897957,HV571505,11/21/2012 01:00:00 PM,049XX S PAULINA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,931,9.0,16.0,61.0,08B,1165848.0,1871825.0,2012,02/04/2016 06:33:39 AM,41.803871938,-87.667276739,"(41.803871938, -87.667276739)"
